id,contractNum,inmateDeathAmt,inmateDeathHcon,inmateRecoveries,inmatePositiveAmt,staffPositiveAmt,staffRecoveries,staffDeathAmt,update_date
"Anchorage, AK",additional_94,0,0,1,0,0,0,0,2020-12-23
"Portland, OR",additional_52,0,0,1,1,0,0,0,2020-12-23
"Florence, AZ",additional_5,0,0,1,0,0,0,0,2020-12-23
"Seattle, WA",DJB200280,0,0,1,0,0,0,0,2020-12-23
"Tacoma, WA",additional_109,0,0,0,1,0,0,0,2020-12-23
"Hartford, CT",additional_3,0,0,1,0,0,0,0,2020-12-23
"Boston, MA",15BRRC20D00000046,0,0,2,4,0,0,0,2020-12-23
"Portland, ME",additional_112,0,0,0,1,0,0,0,2020-12-23
"Washington, DC",additional_110,0,0,0,1,0,0,0,2020-12-23
"Detriot, MI",15BRRC19D00000203,0,0,0,4,0,0,0,2020-12-23
"Nashville, TN",additional_103,0,0,1,2,0,0,0,2020-12-23
"Greensboro, NC",additional_10,0,0,1,0,0,0,0,2020-12-23
"Memphis, TN",additional_45,0,0,4,15,0,0,0,2020-12-23
"St Albans, WV",additional_113,0,0,0,10,0,0,0,2020-12-23
"Wilmington, DE",15BRRC19D00000025,0,0,1,1,0,0,0,2020-12-23
"Norfolk, VA",additional_48,0,0,1,0,0,0,0,2020-12-23
"Baltimore, MD",additional_53,0,0,2,14,0,0,0,2020-12-23
"Lexington, KY",additional_8,0,0,1,0,0,0,0,2020-12-23
"Harrisburg, PA",additional_101,0,0,2,4,0,0,0,2020-12-23
"Philadelphia, PA",15BRRC19D00000194,0,0,11,2,0,0,0,2020-12-23
"Bronx, NY",additional_2,1,1,1,0,0,0,0,2020-12-23
"Rochester,NY",15BRRC19D00000218,0,0,1,8,0,0,0,2020-12-23
"Pittsburgh, PA",additional_114,0,0,0,1,0,0,0,2020-12-23
"Cleveland, OH",additional_49,0,0,2,1,0,0,0,2020-12-23
"Hartford, CT",15BRRC20D00000297,0,0,0,1,0,0,0,2020-12-23
"Louisville, KY",additional_86,0,0,3,2,0,0,0,2020-12-23
"West Palm Beach, FL",additional_60,0,0,10,1,0,0,0,2020-12-23
"Knoxville, TN",additional_66,0,0,1,0,0,0,0,2020-12-23
"Dania, FL",15BRRC19D00000208,0,0,4,0,0,0,0,2020-12-23
"Birmingham, AL",15BRRC19D00000207,0,0,0,2,0,0,0,2020-12-23
"Miami, FL",additional_41,0,0,3,1,0,0,0,2020-12-23
"Chattanooga, TN",additional_25,0,0,5,1,0,0,0,2020-12-23
"FT Myers, FL",additional_40,0,0,1,0,0,0,0,2020-12-23
"Florence, SC",additional_81,0,0,1,10,0,0,0,2020-12-23
"Hattiesburg, MS",additional_43,1,1,0,0,0,0,0,2020-12-23
"Jacksonville, FL",additional_39,0,0,10,0,0,0,0,2020-12-23
"Tallahassee, FL",additional_75,0,0,1,0,0,0,0,2020-12-23
"Tampa, FL",additional_18,0,0,4,0,0,0,0,2020-12-23
"Columbia, SC",additional_108,0,0,0,3,0,0,0,2020-12-23
"Miami, FL",additional_100,0,0,1,0,0,0,0,2020-12-23
"Orlando, FL",additional_57,0,0,2,0,0,0,0,2020-12-23
"Janesville, WI",additional_115,0,0,0,1,0,0,0,2020-12-23
"Minneapolis, MN",15BRRC20D00000275,0,0,9,0,0,0,0,2020-12-23
"Janesville, WI",additional_106,0,0,0,3,0,0,0,2020-12-23
"Youngstown, OH",additional_102,0,0,1,2,0,0,0,2020-12-23
"Ciincinnati, OH",additional_55,0,0,4,1,0,0,0,2020-12-23
"Indianapolis, IN",additional_16,0,0,5,1,0,0,0,2020-12-23
"Marion, IL",additional_92,0,0,2,0,0,0,0,2020-12-23
"Chicago, IL",15BRRC18D00000091,0,0,12,1,0,0,0,2020-12-23
"Peoria, IL",additional_90,0,0,6,1,0,0,0,2020-12-23
"Springfield, IL",additional_88,0,0,1,0,0,0,0,2020-12-23
"Grand Rapids, MI",15BRRC19D00000005,0,0,2,4,0,0,0,2020-12-23
"Rapid City, SD",additional_11,0,0,1,1,0,0,0,2020-12-23
"Brownsville, TX",additional_31,1,1,1,1,0,0,0,2020-12-23
"Chaparral, NM",additional_6,0,0,1,0,0,0,0,2020-12-23
"Hutchins, TX",15BRRC19D00000185,1,0,13,1,0,0,0,2020-12-23
"Fort Worth, TX",additional_46,0,0,1,0,0,0,0,2020-12-23
"San Antonio, TX",additional_19,0,0,13,2,0,0,0,2020-12-23
"Tyler,TX",additional_65,0,0,10,0,0,0,0,2020-12-23
"Corpus Christi, TX",15BRRC19D00000161,0,0,1,0,0,0,0,2020-12-23
"Houston, TX",DJB200242,2,0,9,6,0,0,0,2020-12-23
"Little Rock, AR",additional_37,0,0,1,0,0,0,0,2020-12-23
"Del Rio, TX",additional_42,0,0,6,1,0,0,0,2020-12-23
"El Paso, TX",additional_96,0,0,3,0,0,0,0,2020-12-23
"Edinburg, TX",additional_35,0,0,14,14,0,0,0,2020-12-23
"Albuquerque, NM",additional_13,0,0,32,2,0,0,0,2020-12-23
"Midland, TX",additional_50,0,0,11,1,0,0,0,2020-12-23
"Laredo, TX",additional_24,0,0,1,2,0,0,0,2020-12-23
"Saint Louis, MO",DJB200282,0,0,2,0,0,0,0,2020-12-23
"Farmington, MO",15BRRC19D00000148,0,0,2,0,0,0,0,2020-12-23
"Springfield, MO",additional_64,0,0,3,0,0,0,0,2020-12-23
"Sioux City, IA",additional_22,0,0,1,1,0,0,0,2020-12-23
"Kearney, NE",additional_84,0,0,1,0,0,0,0,2020-12-23
"Roseville, MN",additional_68,0,0,6,1,0,0,0,2020-12-23
"Toledo, OH",DJB200236,0,0,0,3,0,0,0,2020-12-23
"Manchester, KY",additional_7,0,0,1,0,0,0,0,2020-12-23
"Memphis, TN",additional_105,0,0,1,0,0,0,0,2020-12-23
"Omaha, NE",additional_62,0,0,6,1,0,0,0,2020-12-23
"Denver, CO",additional_89,1,0,5,1,0,0,0,2020-12-23
"Mandan, ND",additional_71,0,0,2,0,0,0,0,2020-12-23
"Leavenworth, KS",15BRRC19D00000149,0,0,28,1,0,0,0,2020-12-23
"Wichita, KS",additional_95,0,0,6,0,0,0,0,2020-12-23
"Boise, ID",additional_87,0,0,1,8,0,0,0,2020-12-23
"Mills, WY",additional_97,0,0,3,3,0,0,0,2020-12-23
"Great Falls, MT",additional_85,0,0,7,0,0,0,0,2020-12-23
"Devils Lake, ND",additional_104,0,0,2,2,0,0,0,2020-12-23
"Fargo, ND",additional_23,0,0,8,0,0,0,0,2020-12-23
"Fargo, ND",additional_14,0,0,1,0,0,0,0,2020-12-23
"Billings, MT",additional_44,0,0,3,0,0,0,0,2020-12-23
"Sacramento, CA",15BRRC18D00000106,0,0,1,0,0,0,0,2020-12-23
"Van Nuys, CA",additional_58,0,0,2,0,0,0,0,2020-12-23
"Tucson, AZ",additional_29,0,0,1,6,0,0,0,2020-12-23
"San Diego, CA",additional_12,0,0,10,3,0,0,0,2020-12-23
"Las Vegas, NV",additional_28,0,0,7,2,0,0,0,2020-12-23
