slug,title,first_line,book_slug,book_title,text,html_url,json_url,txt_url
amores-ii,Amores II,there is a,tulips-and-chimneys,Tulips and Chimneys,"there is a
moon sole
in the blue
night

     amorous of waters
tremulous,
blinded with silence the
undulous heaven yearns where

in tense starlessness
anoint with ardor
the yellow lover

stands in the dumb dark
svelte
and
urgent

       (again
love i slowly
gather
of thy languorous mouth the

thrilling
flower)",https://cummings.ee/book/tulips-and-chimneys/poem/amores-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-ii.txt
amores-i,Amores I,consider O,tulips-and-chimneys,Tulips and Chimneys,"consider O
woman this
my body.
for it has

lain
with empty arms
upon the giddy hills
to dream of you,

approve these
firm unsated
eyes
which have beheld

night’s speechless carnival
the painting
of the dark
with meteors

streaming from playful
immortal hands
the bursting
of the wafted stars

(in time to come you shall
remember of this night amazing
esctasies    slowly,
in the glutted

heart fleet
flowerterrible
memories
shall

rise,slowly
return upon the
               red elected lips

scaleless visions)",https://cummings.ee/book/tulips-and-chimneys/poem/amores-i/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-i.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-i.txt
amores-iii,Amores III,as is the sea marvelous,tulips-and-chimneys,Tulips and Chimneys,"as is the sea marvelous
from god’s
hands which sent her forth
to sleep upon the world

and the earth withers
the moon crumbles
one by one
stars flutter into dust

but the sea
does not change
and she goes forth out of hands and
she returns into hands

and is with sleep....

love,
     the breaking

of your
        soul
        upon
my lips",https://cummings.ee/book/tulips-and-chimneys/poem/amores-iii/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-iii.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-iii.txt
amores-iv,Amores IV,if i believe,tulips-and-chimneys,Tulips and Chimneys,"if i believe
in death be sure
of this
it is

because you have loved me,
moon and sunset
stars and flowers
gold crescendo and silver muting

of seatides
i trusted not,
              one night
when in my fingers

drooped your shining body
when my heart
sang between your perfect
breasts

darkness and beauty of stars
was on my mouth petals danced
against my eyes
and down

the singing reaches of
my soul
spoke
the green-

greeting pale-
departing irrevocable
sea
i knew thee death.

                  and when
i have offered up each fragrant
night,when all my days
shall have before a certain

face become
white
perfume
only,

     from the ashes
then
thou wilt rise and thou
wilt come to her and brush

the mischief from her eyes and fold
her
mouth the new
flower with

thy unimaginable
wings, where dwells the breath
of all persisting stars",https://cummings.ee/book/tulips-and-chimneys/poem/amores-iv/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-iv.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-iv.txt
amores-v,Amores V,the glory is fallen out of,tulips-and-chimneys,Tulips and Chimneys,"the glory is fallen out of
the sky the last immortal
leaf
is

dead and the gold
year
a formal spasm
in the

dust
this is the passing of all shining things
therefore we also
blandly

into receptive
earth,O let
us
descend

take
shimmering wind
these fragile splendors from
us crumple them hide

them in they breath drive
them in nothingness
for we
would sleep

this is the passing of all shining things
no lingering no backward-
wondering be unto
us O

soul,but straight
glad feet fearruining
and glorygirded
faces

lead us
into the
serious
steep

darkness",https://cummings.ee/book/tulips-and-chimneys/poem/amores-v/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-v.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-v.txt
amores-vi,Amores VI,i like,tulips-and-chimneys,Tulips and Chimneys,"i like
to think that on
the flower you gave me when we
loved

     the far-
departed mouth sweetly-saluted
lingers.
        if one marvel

seeing the hunger of my
lips for a dead thing,
i shall instruct
him silently with becoming

steps to seek
your face    and i
entreat,by certain foolish perfect
hours

     dead too,
if that he come receive
him as your lover sumptuously
being

kind
     because i trust him to
your grace,and for
in his own land

he is called death.",https://cummings.ee/book/tulips-and-chimneys/poem/amores-vi/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-vi.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-vi.txt
amores-viii,Amores VIII,"your little voice
                  Over the wires came leaping",tulips-and-chimneys,Tulips and Chimneys,"your little voice
                  Over the wires came leaping
and i felt suddenly
dizzy
      With the jostling and shouting of merry flowers
wee skipping high-heeled flames
courtesied before my eyes
                          or twinkling over to my side
Looked up
with impertinently exquisite faces
floating hands were laid upon me
I was whirled and tossed into delicious dancing
up
Up
with the pale important
                       stars and the Humorous
                                              moon
dear girl
How i was crazy how i cried when i heard
                                         over time
and tide and death
leaping
Sweetly
        your voice",https://cummings.ee/book/tulips-and-chimneys/poem/amores-viii/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-viii.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-viii.txt
amores-vii,Amores VII,O Distinct,tulips-and-chimneys,Tulips and Chimneys,"O Distinct
Lady of my unkempt adoration
if i have made
a fragile certain

song under the window of your soul
it is not like any songs
(the singers the others
they have been faithful

to many things and which
die
i have been sometimes true
to Nothing and which lives

they were fond of the handsome
moon     never spoke ill of the
pretty stars     and to
the serene the complicated

and the obvious
they were faithful
and which I despise,
frankly

admitting i have been true
only to the noise of worms.
in the eligible day
under the unaccountable sun)

Distinct Lady
swiftly take
my fragile certain song
that we may watch together

how behind the doomed
exact smile of life’s
placid obscure palpable
carnival where to a normal

melody of probable violins dance
the square virtues and the oblong sins
perfectly
gesticulate the accurate

strenuous lips of incorruptible
Nothing     under the ample
sun,under the insufficient
day under the noise of worms",https://cummings.ee/book/tulips-and-chimneys/poem/amores-vii/,https://cummings.ee/book/tulips-and-chimneys/poem/amores-vii.json,https://cummings.ee/book/tulips-and-chimneys/poem/amores-vii.txt
chansons-innocentes-i,Chansons Innocentes I,in Just-,tulips-and-chimneys,Tulips and Chimneys,"in Just-
spring     when the world is mud-
luscious the little
lame balloonman

whistles    far    and wee

and eddieandbill come
running from marbles and
piracies and it’s
spring

when the world is puddle-wonderful

the queer
old balloonman whistles
far    and    wee
and bettyandisbel come dancing

from hop-scotch and jump-rope and

it’s
spring
and
   the

         goat-footed

balloonMan    whistles
far
and
wee",https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-i/,https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-i.json,https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-i.txt
chansons-innocentes-ii,Chansons Innocentes II,hist    whist,tulips-and-chimneys,Tulips and Chimneys,"hist    whist
little ghostthings
tip-toe
twinkle-toe

little twitchy
witches and tingling
goblins
hob-a-nob    hob-a-nob

little hoppy happy
toad in tweeds
tweeds
little itchy mousies

with scuttling
eyes    rustle and run    and
hidehidehide
whisk

whisk   look out for the old woman
with the wart on her nose
what she'll do to yer
nobody knows

for she knows the devil   ooch
the devil    ouch
the devil
ach      the great

green
dancing
devil
devil

devil
devil

        wheeEEE",https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-ii/,https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-ii.json,https://cummings.ee/book/tulips-and-chimneys/poem/chansons-innocentes-ii.txt
